address,pred-POI,truth-POI,pred-building,truth-building,pred-unit,truth-unit,pred-floor,truth-floor,pred-room,truth-room
南山智园-a7栋 (南山智园a7栋11楼),南山智园,南山智园,a7栋,a7栋,,,11楼,11,,
1985园中园 (3栋206),1985园中园,1985园中园 ,3栋,3栋,,,2,2,206,206
中央原著御珑苑 (深惠地产18号铺),中央原著御珑苑 (),中央原著御珑苑 (深惠地产),,,,,,,18,18号
香林世纪华府 (5栋2单元1802),香林世纪华府,香林世纪华府 ,5栋,5栋,2单元,2单元,18,18,1802,1802
万科星火online (6栋108),万科星火online,万科星火online ,6栋,6栋,,,1,1,108,108
悦龙华府二期 (悦龙华府),悦龙华府二期 (悦龙华府),悦龙华府二期,,,,,,,,
龙光·玖钻1a ( 20楼2015号),龙光·玖钻,龙光·玖钻,1a,1a,,,20,20楼,2015号,2015
星河worldc座 (星河world二期c栋501),星河world二期,星河world,c座,c座,,,5,5,501,501
一品湘木桶饭(光雅园店) (立丰药店对面，光雅园1巷21号，4楼 ，407室。旁边铁门上4楼),一品湘木桶饭(光雅园店) (立丰药店对面，光雅园1巷,一品湘木桶饭(光雅园店) ,,,,,24楼,4楼,407室,407室
爱家园生活超市(民乐店) (老村16栋502),爱家园生活超市(民乐店)),爱家园生活超市(民乐店) ,16栋,16栋,,,5,5,502,502
淘景商务大厦 (深圳市龙华区民治街道北站社区创业花园177-180栋1707 ),淘景商务大厦深圳市龙华区民治街道北站社区创业花园),深圳市龙华区民治街道北站社区创业花园,80栋,7-180栋,,,177,17,1707,1707
美团星河二期无人机智能空投柜 (1111),美团星河二期无人机智能空投柜,美团星河二期无人机智能空投柜,,,,,1,,1111,1111
逸秀新村-46栋 (深圳市龙华区民治街道逸秀新村46栋902),深圳市龙华区民治街道逸秀新村,逸秀新村,46栋,46栋,,,9,9,902,902
鼎曦大厦 (a区8222),鼎曦大厦 (a区),鼎曦大厦a区,,,,,82,,8222,8222
金方华南坑电商科技园 (三楼3a),金方华南坑电商科技园,金方华南坑电商科技园,,,,,三楼3,三楼,a,a
盛游网咖 (网吧楼上 3楼 3005室),盛游网咖,盛游网咖,,,,,3,3,3005室,3005
美宜多生活超市(四季花城店) (一巷4号楼上505(村内后门进)(永香西路36号)),美宜多生活超市(四季花城店)一,美宜多生活超市(四季花城店)(永香西路36号),4号楼,4号楼,,,5,5,505,505
万科时代广场v寓3栋-a座 (深圳龙岗区龙翔大道万科时代广场3栋a座2502),万科时代广场v寓,万科时代广场v寓,3栋a座,3栋,,a座,25,25,2502,2502
简上村 (2区90栋310),简上村 (2区),简上村,90栋,90栋,,,3,3,310,310
展滔科技大厦c座 (1508深圳市慕晨科技有限公司),展滔科技大厦,展滔科技大厦,c座,c座,,,15,,1508,
星河world2期 (e栋20楼灼华网络),星河world期,星河world2期,e栋,e栋,,,220楼,20,,
智慧谷 (701),智慧谷,智慧谷 ,,,,,7,7,701,701
龙溪凤凰庄 (d1栋1楼),龙溪凤凰庄,龙溪凤凰庄,d1栋,d栋,,,1楼,1,,
星河传奇(1期) (1a3802),星河传奇(1期),星河传奇(1期),1,1a,a,,38,38,3802,3802
1970科技园 (8栋315 5a),1970科技园,1970科技园,8栋,8栋,,,3,3,315a,315
莱蒙·水榭春天6b期 (6期b区1栋27e),莱蒙·水榭春天,莱蒙·水榭春天6b期 ,1栋,1栋,,,27,27,e,e
华莱士·炸鸡汉堡(坂田广联店) (广联百货华莱士),华莱士·炸鸡汉堡(坂田广联店) (联百货华莱士),华莱士·炸鸡汉堡(坂田广联店) (广联百货华莱士),,,,,,,,
帅大妈(新生店) (水岸新都一期1-46铺),帅大妈(新生店) (水岸新都一期),帅大妈(水岸新都),,1,,,,,1-46铺,46铺
中海朗月苑-3栋 (2单元5c(到了打电话)),中海朗月苑,中海朗月苑,3栋,3栋,2单元,2,5,5,c,c
苑祥茶艺棋牌室 (五和大道南50-41),苑祥茶艺棋牌室 (五和大道南50-),苑祥茶艺棋牌室 (五和大道南),,,,,,,41,50-41
天虹rainbow(龙华九方购物中心店) (关键词综合素养中心2楼),天虹rainbow(龙华九方购物中心店),天虹rainbow(龙华九方购物中心店) (关键词综合素养中心),,,,,2楼,2,,
光雅园村综合办公大楼 (6楼),光雅园村综合办公大楼,光雅园村综合办公大楼,,,,,6楼,6,,
1970科技小镇 (5栋303房),1970科技小镇,1970科技小镇,5栋,5栋,,,3,3,303房,303
太阳雨家园 (彩霞閣16b),太阳雨家园 (彩霞閣),太阳雨家园 ,,彩霞閣,,,16,16,b,16b
泊寓民乐店美团外卖柜,泊寓民乐店美团,泊寓民乐店美团外卖柜,,,,,,,外卖柜,
永香路八巷 (七区八巷一号永香楼1406，放门口),七区八巷一号永香楼,永香路八巷 (七区八巷一号),,,,,14,14,1406,1406
和成世纪 (2a1201),和成世纪,和成世纪,2,2a,a,,12,12,1201,1201
中海锦城-3c座 (26c),中海锦城,中海锦城,3座,3座,,,26,26,c,c
星河world1期-a座 (深圳市龙岗区坂田街道雅宝路1号星河world大厦a座16楼),星河world1期(深圳市龙岗区坂田街道雅宝路1号星河world大厦),星河world1期,a座,a座,,,16楼,16,,
榕寓-8号楼 (和磡村8巷4号榕寓),榕寓(和磡村8巷4号榕寓),和磡村8巷4号榕寓,8号楼,8号楼,,,,,,
佳兆业·水岸新都4、5期 (水岸新都),佳兆业·水岸新都4、5期,佳兆业·水岸新都4、5期 ,,,,,,,,
星河world大厦-c座 (7楼),星河world大厦,星河world大厦,c座,c座,,,7楼,7,,
太小食堂 (隔壁楼梯蓝牌45栋501),太小食堂,太小食堂,栋,4栋,,,45,5,501,501
华侨城北站壹号公馆美团外卖柜,华侨城北站壹号公馆美团外卖柜,华侨城北站壹号公馆美团,,,,,,,,外卖柜
铂乐公寓(雅园店) (915),铂乐公寓(雅园店),铂乐公寓(雅园店) ,,,,,9,9,915,915
卓越皇后道 (卓越皇后道2栋a单元9b),卓越皇后道,卓越皇后道 (卓越皇后道),2栋,2栋,a单元,a单元,9,9,b,b
深国际华南物流-接驳楼 (深圳华南物流中心接驳办公室125室  深圳市金富海物流有限公司),,深国际华南物流-接驳楼,,,,,1,1,125,125室
安鸿基天耀大厦停车场入口美团外卖柜,安鸿基天耀大厦停车场入口美团,安鸿基天耀大厦停车场入口美团外卖柜,,,,,,,外卖柜,
万科时代广场v寓 (3a 817 ),万科时代广场v寓,万科时代广场v寓,3,3a,a,,8,8,817,817
万科·天誉ⅱ (10b1307),万科·天誉ⅱ,万科·天誉ⅱ,10,10b,b,,13,13,1307,1307
圆梦科技大厦 (圆梦科技大厦夹层110室),圆梦科技大厦,圆梦科技大厦,,,,,1,,110室,
深圳北行车公寓 (深圳北行车公寓),深圳北行车公寓 ,深圳北行车公寓 (深圳北行车公寓),,,,,,,,
维也纳酒店(深圳北站二店) (3楼8368),维也纳酒店(深圳北站二店),维也纳酒店(深圳北站二店),,,,,3楼,3,8368,8368
望梅园-2号楼 (梅花山庄望梅园2号),(梅花山庄望梅园2号,梅花山庄望梅园,2号楼,2号楼,,,,,,
万科时代广场v寓1栋-1栋 (21层2105),万科时代广场v寓,万科时代广场v寓,1栋1栋,1栋,,,21,21,2105,2105
朗泓·龙园大观二期(建设中)-3号楼 (龙园大观二期3c座3楼a门牌),朗泓·龙园大观二期(建设中),朗泓·龙园大观二期(建设中),3c座,3c座,,,3楼,3,a,a
星河world-g座 (g2座1楼),星河world,星河world,,g座,,,1楼,1,,
圳宝工业区-4栋 (4),圳宝工业区,圳宝工业区,4栋,栋,,,,,,4
银泉花园 (5栋b单元405),银泉花园,银泉花园 ,5栋,5栋,b单元,b单元,4,4,405,405
星河world·coco park (4楼微软店四季椰林隔壁),星河world·coco park,星河world·coco park ,,,,,4楼,4楼,,
中海月朗苑-1栋-6单元 (10楼10b),中海月朗苑,中海月朗苑,1栋,1栋,6单元,6单元,10楼,10,10b,b
横岭二区-25栋 (横岭二区蓝牌25栋301室),横岭二区,横岭二区,25栋,25栋,,,3,3,301室,301
肖记烧烤(同辉路店) (b301 (肖记烧烤旁铁门上三楼，301号房间)),肖记烧烤(同辉路店),肖记烧烤(同辉路店),b,,,,三楼,3,301号房间,301
万科·金域华府(新区大道) (2期1a栋603),万科·金域华府(新区大道),万科·金域华府(新区大道) (2期),1a栋,1a栋,,,6,6,603,603
特发和平里二期 (杜鹃阁3603),特发和平里二期 (杜鹃阁),特发和平里二期,,,,,36,36,3603,3603
华侨新村(中裕冠大道) (32栋303(从电梯上来)),华侨新村(中裕冠大道),华侨新村(中裕冠大道),2栋,2栋,,,3,3,303,303
星河领创天下 (一期无人机外卖柜),星河领创天下 (一期无人机),星河领创天下 (一期无人机外卖柜),,,,,,,外卖柜,
麒麟东 (3巷13-1号manse公寓702),麒麟东 (3巷13-1号),麒麟东 (3巷13-1号manse公寓),,,,,7,7,702,702
陶家湾 (72号 屋村汽车服务有限公司),陶家湾 (7号 屋村汽车服务有限公司),陶家湾 (72号 屋村汽车服务有限公司),,,,,,,2,
金西城 (大厦2栋302),金西城,金西城 ,2栋,2栋,,,3,3,302,302
上海鑫湾生物科技公司 (豪业路518号6幢(金争路和豪业路交叉口铁门处)),上海鑫湾生物科技公司 (豪业路518号路叉口门处)),上海鑫湾生物科技公司 (豪业路518号,6幢,6幢,,,,,,
星河coco city(民治店) (负一楼停车场d区办公室(星河盛世住宅b6-2入口旁)),星河coco city(民治店),星河coco city(民治店),b6,,,,负一楼,负一楼,,
大龙[UNK]火锅(龙华店) (到了打电话),大龙[UNK]火锅(龙华店) (到了打电话),大龙[UNK]火锅(龙华店) ,,,,,,,,
1970科技园 (8栋4楼406),1970科技园,1970科技园,8栋,8栋,,,4楼,4,406,406
